timestamp,title,sentiment
2022-01-01 17:31:24+00:00,Top 25 WallStreetBets Mentions for 2021,POSITIVE
2022-01-01 15:25:38+00:00,"7 Tech Predictions For 2022: Apple-Facebook Face-Off In Metaverse, Tesla Reigns Supreme, Quantum Takes A Big Leap, And More",POSITIVE
2022-01-03 17:36:45+00:00,10 Information Technology Stocks Whale Activity In Today's Session,NEGATIVE
2022-01-03 13:49:38+00:00,"5 ETFs To With Major Growth Potential In January And Beyond, From Sports Betting To The Metaverse",POSITIVE
2022-01-04 23:27:36+00:00,"9 Of The Largest M&A Deals From 2021: WarnerMedia+Discovery, Kansas City Southern+Canadian National And More",POSITIVE
2022-01-04 21:23:11+00:00,"EXCLUSIVE: Microsoft General Manager, Automotive, Sanjay Ravi On The Co's Partership With Wejo Tells Benzinga 'Edge processing of data is critical to unlock the great potential of near-real-time data processing and insights from vehicles at a lower cost'",POSITIVE
2022-01-04 21:22:44+00:00,EXCLUSIVE: Wejo Announces New Connected Vehicle Platform With Microsoft,POSITIVE
2022-01-04 21:20:11+00:00,"EXCLUSIVE: Wejo Says 'In Partnership With Microsoft, Neural Edge Uses Machine Learning To Address Data Overload And Deliver Faster, More Cost Effective, And Sustainable Vehicle Communication Insights'",POSITIVE
2022-01-04 21:20:05+00:00,EXCLUSIVE: Wejo Announces Co. Is Developing Neural Edge Processing Platform To Streamline Connected Vehicle Data,POSITIVE
2022-01-04 21:03:28+00:00,AMD Previews 30 New Products At CES 2022: What You Need To Know,POSITIVE
2022-01-04 19:43:15+00:00,Why Microsoft Shares Are Falling,NEGATIVE
2022-01-04 19:23:34+00:00,Qualcomm To Develop Custom Computing Chip For Augmented Reality Headsets That Tap Microsoft Software,NEGATIVE
2022-01-04 17:42:32+00:00,10 Information Technology Stocks Whale Activity In Today's Session,NEGATIVE
2022-01-02 22:18:59+00:00,"Top 10 Most Searched Tickers On Benzinga Pro In 2021: Tesla, Apple, AMC, GameStop And More",POSITIVE
2022-01-05 20:50:35+00:00,Why Microsoft Shares Are Falling,NEGATIVE
2022-01-05 18:01:17+00:00,"Meta Eases On AR, VR OS Project: Report",NEGATIVE
2022-01-05 17:36:42+00:00,10 Information Technology Stocks Whale Activity In Today's Session,NEGATIVE
2022-01-05 15:37:27+00:00,What Are Whales Doing With Microsoft,NEGATIVE
2022-01-05 14:37:11+00:00,Why Wejo Shares Are Rising,NEGATIVE
2022-01-05 14:27:39+00:00,"EXCLUSIVE: Wejo CEO Richard Barlow And Sanjay Ravi, General Manager, Automotive, Mobility, And Transportation Industry At Microsoft To Appear On Benzinga's Live YouTube TV At 12:45 p.m. ET",POSITIVE
2022-01-05 14:02:32+00:00,"Benzinga Pro's Top 5 Stocks To Watch For Wednesday, Jan. 5, 2022: BABA, AFRM, X, WEJO, CG",POSITIVE
2022-01-05 11:45:43+00:00,"Qualcomm-Microsoft Partner For Metaverse AR Glasses; Forge Deals With Volvo, Honda, Renault",NEGATIVE
2022-01-04 23:27:36+00:00,"9 Of The Largest M&A Deals From 2021: WarnerMedia+Discovery, Kansas City Southern+Canadian National And More",POSITIVE
2022-01-04 21:23:11+00:00,"EXCLUSIVE: Microsoft General Manager, Automotive, Sanjay Ravi On The Co's Partership With Wejo Tells Benzinga 'Edge processing of data is critical to unlock the great potential of near-real-time data processing and insights from vehicles at a lower cost'",POSITIVE
2022-01-06 18:20:57+00:00,Is Microsoft Gearing Up For A Big Move?,NEGATIVE
2022-01-06 17:36:54+00:00,10 Information Technology Stocks Whale Activity In Today's Session,NEGATIVE
2022-01-06 16:47:36+00:00,Jefferies Bumps Up Price Target On This Tech Giant By 7%; Remains Bullish,NEGATIVE
2022-01-06 16:32:35+00:00,"'LinkedIn is launching interactive, Clubhouse-style audio events this month in beta; a video version will come this spring' -TechCrunch Report",NEGATIVE
2022-01-05 20:50:35+00:00,Why Microsoft Shares Are Falling,NEGATIVE
2022-01-05 18:01:17+00:00,"Meta Eases On AR, VR OS Project: Report",NEGATIVE
2022-01-05 17:36:42+00:00,10 Information Technology Stocks Whale Activity In Today's Session,NEGATIVE
2022-01-05 15:37:27+00:00,What Are Whales Doing With Microsoft,NEGATIVE
2022-01-05 14:37:11+00:00,Why Wejo Shares Are Rising,NEGATIVE
2022-01-05 14:27:39+00:00,"EXCLUSIVE: Wejo CEO Richard Barlow And Sanjay Ravi, General Manager, Automotive, Mobility, And Transportation Industry At Microsoft To Appear On Benzinga's Live YouTube TV At 12:45 p.m. ET",POSITIVE
2022-01-06 18:20:57+00:00,Is Microsoft Gearing Up For A Big Move?,NEGATIVE
2022-01-06 17:36:54+00:00,10 Information Technology Stocks Whale Activity In Today's Session,NEGATIVE
2022-01-06 16:47:36+00:00,Jefferies Bumps Up Price Target On This Tech Giant By 7%; Remains Bullish,NEGATIVE
2022-01-06 16:32:35+00:00,"'LinkedIn is launching interactive, Clubhouse-style audio events this month in beta; a video version will come this spring' -TechCrunch Report",NEGATIVE
2022-01-08 22:25:29+00:00,Warren Buffett Moves Up The Top 10 Billionaires List As Berkshire Hathaway Hits All-Time Highs,POSITIVE
2022-01-08 21:42:09+00:00,"Top 10 Stock Market Moving Headlines From Last Week: Tesla, Ark Innovation ETF, Bitcoin And More",POSITIVE
2022-01-09 15:49:21+00:00,"This Chipmaker Has A Better 1-Year Return Than Tesla, Microsoft, Apple, Riot Blockchain And Moderna",POSITIVE
2022-01-08 22:25:29+00:00,Warren Buffett Moves Up The Top 10 Billionaires List As Berkshire Hathaway Hits All-Time Highs,POSITIVE
2022-01-08 21:42:09+00:00,"Top 10 Stock Market Moving Headlines From Last Week: Tesla, Ark Innovation ETF, Bitcoin And More",POSITIVE
2022-01-10 21:06:18+00:00,F5 Networks Names Microsoft President Of Digital Transformation Platform Group To Co. Board,NEGATIVE
2022-01-10 17:05:44+00:00,"Microsoft Says Uncovered Mac OS Vulnerability 'Powerdir,' Says Apple Released Fix On Dec. 13",NEGATIVE
2022-01-10 16:21:06+00:00,"Top 10 WallStreetBets Mentions for January 10, 2022 Since 9:30 AM Open: GME, TSLA, TLRY, PLTR, AMC, NVDA, LCID, MSFT, AAPL, HOOD",POSITIVE
2022-01-10 14:33:39+00:00,"Benzinga Asks: Which Company Could Join The $1-Trillion Market Cap Club Next? Did NVDA, TSM, BRKA Or TCEHY Win?",POSITIVE
2022-01-09 15:49:21+00:00,"This Chipmaker Has A Better 1-Year Return Than Tesla, Microsoft, Apple, Riot Blockchain And Moderna",POSITIVE
2022-01-11 21:06:10+00:00,"Microsoft To Report Q2 Earnings Results After The Close Of The Market On Tuesday, Jan. 25, 2022",NEGATIVE
