,date,signal
0,2023-12-13,2
1,2024-01-01,0
2,2024-01-03,5
3,2024-01-04,-7
4,2024-01-05,-4
5,2024-01-07,1
6,2024-01-08,7
7,2024-01-09,-5
8,2024-01-10,-3
9,2024-01-11,0
10,2024-01-12,8
11,2024-01-13,4
12,2024-01-15,-2
13,2024-01-16,4
14,2024-01-17,-4
15,2024-01-18,2
16,2024-01-19,0
17,2024-01-20,0
18,2024-01-21,2
19,2024-01-22,-1
20,2024-01-23,-4
21,2024-01-24,-4
22,2024-01-25,0
23,2024-01-26,-5
24,2024-01-27,2
25,2024-01-28,-1
26,2024-01-29,4
27,2024-01-30,0
28,2024-01-31,-6
29,2024-02-01,6
30,2024-02-02,0
31,2024-02-03,4
32,2024-02-05,-2
33,2024-02-06,6
34,2024-02-07,0
35,2024-02-08,0
36,2024-02-09,-2
37,2024-02-10,0
38,2024-02-11,0
39,2024-02-12,0
40,2024-02-13,-1
41,2024-02-14,1
42,2024-02-15,4
43,2024-02-16,-2
44,2024-02-17,-2
45,2024-02-18,2
46,2024-02-19,1
47,2024-02-20,2
48,2024-02-21,0
49,2024-02-22,7
50,2024-02-23,6
51,2024-02-24,4
52,2024-02-26,-3
53,2024-02-27,-3
54,2024-02-28,-4
55,2024-02-29,2
56,2024-03-01,-3
57,2024-03-02,-2
58,2024-03-03,2
59,2024-03-04,-1
60,2024-03-05,1
61,2024-03-06,-3
62,2024-03-07,3
63,2024-03-08,3
64,2024-03-09,-4
65,2024-03-10,2
66,2024-03-11,0
67,2024-03-12,-5
68,2024-03-13,1
69,2024-03-14,0
70,2024-03-15,1
71,2024-03-16,-2
72,2024-03-17,1
73,2024-03-18,8
74,2024-03-19,7
75,2024-03-20,1
76,2024-03-21,-2
77,2024-03-22,-12
78,2024-03-24,2
79,2024-03-25,3
80,2024-03-26,1
81,2024-03-27,5
82,2024-03-28,1
83,2024-03-29,-2
84,2024-03-30,-4
85,2024-03-31,1
86,2024-04-01,5
87,2024-04-02,7
88,2024-04-03,-2
89,2024-04-04,3
90,2024-04-05,-8
91,2024-04-07,0
92,2024-04-08,4
93,2024-04-09,2
94,2024-04-10,-2
95,2024-04-11,4
96,2024-04-12,8
97,2024-04-14,1
98,2024-04-15,2
99,2024-04-16,0
100,2024-04-17,-2
101,2024-04-18,-2
102,2024-04-19,12
103,2024-04-20,-4
104,2024-04-21,2
105,2024-04-22,2
106,2024-04-23,0
107,2024-04-24,4
108,2024-04-25,-4
109,2024-04-26,-3
110,2024-04-27,-2
111,2024-04-28,1
112,2024-04-29,4
113,2024-04-30,2
114,2024-05-01,9
115,2024-05-02,-3
